iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
BQK,KBQK,Brunswick Golden Isles Airport,Brunswick,GA,medium_airport,31.258801,-81.466499,26.0,yes,1,8001,OurAirports airports and runways cache
BRD,KBRD,Brainerd Lakes Regional Airport,Brainerd,MN,medium_airport,46.402861,-94.129727,1232.0,yes,4,7100,OurAirports airports and runways cache
BRL,KBRL,Southeast Iowa Regional Airport,Burlington,IA,medium_airport,40.783199310302734,-91.12550354003906,698.0,yes,2,6102,OurAirports airports and runways cache
BRO,KBRO,Brownsville South Padre Island International Airport,Brownsville,TX,medium_airport,25.907238,-97.425235,22.0,yes,3,7399,OurAirports airports and runways cache
BRW,PABR,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,AK,medium_airport,71.285402,-156.766008,44.0,yes,1,7100,OurAirports airports and runways cache
BTI,PABA,Barter Island Long Range Radar Station Airport,Barter Island,AK,medium_airport,70.134003,-143.582001,2.0,yes,1,4500,OurAirports airports and runways cache
BTM,KBTM,Bert Mooney Airport,Butte,MT,medium_airport,45.95479965209961,-112.49700164794922,5550.0,yes,3,9000,OurAirports airports and runways cache
BTR,KBTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,medium_airport,30.533199,-91.149597,70.0,yes,3,7500,OurAirports airports and runways cache
BTT,PABT,Bettles Airport,Bettles,AK,small_airport,66.913902,-151.529007,647.0,yes,1,5190,OurAirports airports and runways cache
BTV,KBTV,Patrick Leahy Burlington International Airport,Burlington,VT,medium_airport,44.471901,-73.153297,335.0,yes,2,8319,OurAirports airports and runways cache
BUF,KBUF,Buffalo Niagara International Airport,Buffalo,NY,large_airport,42.940498,-78.732201,728.0,yes,2,8829,OurAirports airports and runways cache
BUR,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,CA,large_airport,34.202834,-118.35805,778.0,yes,2,6886,OurAirports airports and runways cache
BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,large_airport,39.1754,-76.668297,146.0,yes,4,10503,OurAirports airports and runways cache
BYW,38WA,Blakely Island Airport,Blakely Island,WA,small_airport,48.579162,-122.823844,66.0,yes,1,2200,OurAirports airports and runways cache
BZN,KBZN,Bozeman Yellowstone International Airport,Bozeman,MT,medium_airport,45.778853,-111.153711,4473.0,yes,4,8994,OurAirports airports and runways cache
CAE,KCAE,Columbia Metropolitan Airport,Columbia,SC,medium_airport,33.938172,-81.123022,236.0,yes,2,8601,OurAirports airports and runways cache
CAK,KCAK,Akron Canton Regional Airport,Akron,OH,medium_airport,40.91609954833984,-81.44219970703125,1228.0,yes,3,8204,OurAirports airports and runways cache
CCR,KCCR,Buchanan Field,Concord,CA,medium_airport,37.9897,-122.056999,26.0,yes,4,5001,OurAirports airports and runways cache
CDB,PACD,Cold Bay Airport,Cold Bay,AK,medium_airport,55.207871,-162.725029,96.0,yes,2,10179,OurAirports airports and runways cache
CDC,KCDC,Cedar City Regional Airport,Cedar City,UT,medium_airport,37.70100021362305,-113.0989990234375,5622.0,yes,2,8653,OurAirports airports and runways cache
CDR,KCDR,Chadron Municipal Airport,Chadron,NE,medium_airport,42.837601,-103.095001,3297.0,yes,2,5998,OurAirports airports and runways cache
CDV,PACV,Merle K (Mudhole) Smith Airport,Cordova,AK,medium_airport,60.491798,-145.477997,54.0,yes,2,7500,OurAirports airports and runways cache
CEC,KCEC,Jack Mc Namara Field Airport,Crescent City,CA,medium_airport,41.778929,-124.236403,61.0,yes,2,5002,OurAirports airports and runways cache
CEM,PACE,Central Airport,Central,AK,small_airport,65.573815,-144.780707,937.0,yes,1,2782,OurAirports airports and runways cache
CEZ,KCEZ,Cortez Municipal Airport,Cortez,CO,medium_airport,37.303001,-108.627998,5918.0,yes,1,7205,OurAirports airports and runways cache
CGA,CGA,Craig Seaplane Base,Craig,AK,seaplane_base,55.478802,-133.147995,,yes,1,10000,OurAirports airports and runways cache
CGI,KCGI,Cape Girardeau Regional Airport,Cape Girardeau,MO,medium_airport,37.2253,-89.570801,342.0,yes,2,6500,OurAirports airports and runways cache
CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,medium_airport,35.035301,-85.203796,683.0,yes,2,7400,OurAirports airports and runways cache
CHO,KCHO,Charlottesville Albemarle Airport,Charlottesville,VA,medium_airport,38.13859939575195,-78.4529037475586,639.0,yes,1,6801,OurAirports airports and runways cache
CHS,KCHS,Charleston International Airport,Charleston,SC,large_airport,32.896159,-80.038151,46.0,yes,2,9001,OurAirports airports and runways cache
CHU,9A3,Chuathbaluk Airport,Chuathbaluk,AK,small_airport,61.579102,-159.216003,244.0,yes,1,3401,OurAirports airports and runways cache
CID,KCID,The Eastern Iowa Airport,Cedar Rapids,IA,medium_airport,41.884701,-91.7108,869.0,yes,2,8600,OurAirports airports and runways cache
CIK,PACI,Chalkyitsik Airport,Chalkyitsik,AK,small_airport,66.644997,-143.740005,544.0,yes,1,4000,OurAirports airports and runways cache
CIU,KCIU,Chippewa County International Airport,Kincheloe,MI,medium_airport,46.242038,-84.462082,800.0,yes,2,7203,OurAirports airports and runways cache
CKB,KCKB,North Central West Virginia Airport,Bridgeport,WV,medium_airport,39.2966,-80.228104,1217.0,yes,1,7800,OurAirports airports and runways cache
CKD,CJX,Crooked Creek Airport,Crooked Creek,AK,small_airport,61.870315,-158.137636,178.0,yes,1,1997,OurAirports airports and runways cache
CKX,CKX,Chicken Airport,Chicken,AK,small_airport,64.066495,-141.951342,1640.0,yes,1,2500,OurAirports airports and runways cache
CLD,KCRQ,McClellan-Palomar Airport,Carlsbad,CA,medium_airport,33.1283,-117.279999,331.0,yes,1,4897,OurAirports airports and runways cache
CLE,KCLE,Cleveland Hopkins International Airport,Cleveland,OH,large_airport,41.411701,-81.8498,791.0,yes,4,9953,OurAirports airports and runways cache
CLL,KCLL,Easterwood Field,College Station,TX,medium_airport,30.5886,-96.3638,320.0,yes,3,7000,OurAirports airports and runways cache
CLP,PFCL,Clarks Point Airport,Clarks Point,AK,small_airport,58.833698,-158.529007,80.0,yes,1,3200,OurAirports airports and runways cache
CLT,KCLT,Charlotte Douglas International Airport,Charlotte,NC,large_airport,35.2140007019043,-80.94309997558594,748.0,yes,4,10000,OurAirports airports and runways cache
CMH,KCMH,John Glenn Columbus International Airport,Columbus,OH,large_airport,39.998001,-82.891899,815.0,yes,2,10114,OurAirports airports and runways cache
CMI,KCMI,University of Illinois Willard Airport,Savoy,IL,medium_airport,40.039819,-88.276249,755.0,yes,4,8101,OurAirports airports and runways cache
CMX,KCMX,Houghton County Memorial Airport,Hancock,MI,medium_airport,47.168399810791016,-88.48909759521484,1095.0,yes,2,6501,OurAirports airports and runways cache
CNM,KCNM,Cavern City Air Terminal,Carlsbad,NM,medium_airport,32.337501525878906,-104.26300048828124,3295.0,yes,4,7854,OurAirports airports and runways cache
CNY,KCNY,Canyonlands Regional Airport,Moab,UT,medium_airport,38.755001,-109.754997,4557.0,yes,1,7360,OurAirports airports and runways cache
COD,KCOD,Yellowstone Regional Airport,Cody,WY,medium_airport,44.520199,-109.024002,5102.0,yes,1,8268,OurAirports airports and runways cache
COS,KCOS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,large_airport,38.805801,-104.700996,6187.0,yes,3,13500,OurAirports airports and runways cache
COU,KCOU,Columbia Regional Airport,Columbia,MO,medium_airport,38.8181,-92.219597,889.0,yes,2,7401,OurAirports airports and runways cache
CPR,KCPR,Casper-Natrona County International Airport,Casper,WY,medium_airport,42.907381,-106.461609,5350.0,yes,4,10165,OurAirports airports and runways cache
CRP,KCRP,Corpus Christi International Airport,Corpus Christi,TX,medium_airport,27.770399,-97.501198,44.0,yes,2,7510,OurAirports airports and runways cache
CRW,KCRW,Yeager Airport,Charleston,WV,medium_airport,38.3731,-81.593201,981.0,yes,2,6715,OurAirports airports and runways cache
CSG,KCSG,Columbus Airport,Columbus,GA,medium_airport,32.516415,-84.939602,397.0,yes,2,6997,OurAirports airports and runways cache
CVG,KCVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,KY,large_airport,39.048801,-84.667801,896.0,yes,4,12001,OurAirports airports and runways cache
CVN,KCVN,Clovis Municipal Airport,Clovis,NM,medium_airport,34.426594,-103.078794,4216.0,yes,3,7200,OurAirports airports and runways cache
CWA,KCWA,Central Wisconsin Airport,Mosinee,WI,medium_airport,44.777448,-89.670238,1277.0,yes,2,7723,OurAirports airports and runways cache
CWS,78WA,Center Island Airport,Center Island,WA,small_airport,48.490046,-122.831612,115.0,yes,1,1600,OurAirports airports and runways cache
CYF,PACK,Chefornak Airport,Chefornak,AK,small_airport,60.136667,-164.279167,49.0,yes,2,3720,OurAirports airports and runways cache
CYM,CYM,Chatham Seaplane Base,Chatham,AK,seaplane_base,57.5149,-134.945999,,yes,1,10000,OurAirports airports and runways cache
CYS,KCYS,Cheyenne Regional Jerry Olson Field,Cheyenne,WY,medium_airport,41.155701,-104.811997,6159.0,yes,2,9270,OurAirports airports and runways cache
CYT,PACY,Yakataga Airport,Yakataga,AK,small_airport,60.080974,-142.494541,12.0,yes,1,4350,OurAirports airports and runways cache
DAB,KDAB,Daytona Beach International Airport,Daytona Beach,FL,medium_airport,29.18255,-81.059464,34.0,yes,3,10500,OurAirports airports and runways cache
DAL,KDAL,Dallas Love Field,Dallas,TX,large_airport,32.844776,-96.847653,487.0,yes,3,8800,OurAirports airports and runways cache
DAY,KDAY,James M. Cox Dayton International Airport,Dayton,OH,medium_airport,39.902401,-84.219398,1009.0,yes,3,10901,OurAirports airports and runways cache
DBQ,KDBQ,Dubuque Regional Airport,Dubuque,IA,medium_airport,42.402,-90.709503,1077.0,yes,2,6502,OurAirports airports and runways cache
DCA,KDCA,Ronald Reagan Washington National Airport,Washington,DC,large_airport,38.8521,-77.037697,15.0,yes,3,7169,OurAirports airports and runways cache
DDC,KDDC,Dodge City Regional Airport,Dodge City,KS,medium_airport,37.76340103149414,-99.9655990600586,2594.0,yes,2,6899,OurAirports airports and runways cache
DEC,KDEC,Decatur Airport,Decatur,IL,medium_airport,39.834598541259766,-88.8656997680664,682.0,yes,3,8496,OurAirports airports and runways cache
DEN,KDEN,Denver International Airport,Denver,CO,large_airport,39.860027,-104.673792,5431.0,yes,6,16000,OurAirports airports and runways cache
DFW,KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,large_airport,32.896801,-97.038002,607.0,yes,7,13401,OurAirports airports and runways cache
DHB,DHB,Deer Harbor SPB,Deer Harbor,WA,seaplane_base,48.616667,-123.002778,0.0,yes,1,4001,OurAirports airports and runways cache
DHN,KDHN,Dothan Regional Airport,Dothan,AL,medium_airport,31.3213005065918,-85.44960021972656,401.0,yes,2,8500,OurAirports airports and runways cache
DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,medium_airport,46.797533,-102.801905,2592.0,yes,2,7301,OurAirports airports and runways cache
DIO,DM2,Diomede Heliport,Diomede,AK,heliport,65.758367,-168.953676,20.0,yes,1,64,OurAirports airports and runways cache
DJT,KPBI,President Donald J. Trump International Airport,West Palm Beach,FL,large_airport,26.683201,-80.095596,19.0,yes,3,10001,OurAirports airports and runways cache
DLG,PADL,Dillingham Airport,Dillingham,AK,medium_airport,59.04470062,-158.5050049,81.0,yes,1,6400,OurAirports airports and runways cache
DLH,KDLH,Duluth International Airport,Duluth,MN,medium_airport,46.841873,-92.198746,1428.0,yes,2,10591,OurAirports airports and runways cache
DOV,KDOV,Dover Civil Air Terminal/Dover Air Force Base,Dover,DE,medium_airport,39.129501,-75.466003,24.0,yes,2,12903,OurAirports airports and runways cache
DRG,PADE,Deering Airport,Deering,AK,medium_airport,66.068901,-162.766914,21.0,yes,2,3320,OurAirports airports and runways cache
DRO,KDRO,Durango La Plata County Airport,Durango,CO,medium_airport,37.151501,-107.753998,6685.0,yes,1,9201,OurAirports airports and runways cache
DSI,KDTS,Destin Executive Airport,Destin,FL,medium_airport,30.400101,-86.471497,23.0,yes,1,5001,OurAirports airports and runways cache
DSM,KDSM,Des Moines International Airport,Des Moines,IA,large_airport,41.534027,-93.656719,958.0,yes,2,9004,OurAirports airports and runways cache
DTR,WN07,Decatur Shores Airport,Decatur,WA,small_airport,48.500171,-122.813973,38.0,yes,1,2550,OurAirports airports and runways cache
DTW,KDTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,large_airport,42.21377,-83.353786,645.0,yes,6,12003,OurAirports airports and runways cache
DUJ,KDUJ,DuBois Regional Airport,Dubois,PA,medium_airport,41.17829895,-78.8986969,1817.0,yes,1,5503,OurAirports airports and runways cache
DUT,PADU,Tom Madsen (Dutch Harbor) Airport,Unalaska,AK,medium_airport,53.89881,-166.544996,22.0,yes,1,4500,OurAirports airports and runways cache
DVL,KDVL,Devils Lake Regional Airport,Devils Lake,ND,medium_airport,48.115454,-98.908796,1456.0,yes,2,6400,OurAirports airports and runways cache
EAA,PAEG,Eagle Airport,Eagle,AK,small_airport,64.778003,-141.150455,908.0,yes,1,3600,OurAirports airports and runways cache
EAR,KEAR,Kearney Regional Airport,Kearney,NE,medium_airport,40.727001,-99.006798,2131.0,yes,2,7094,OurAirports airports and runways cache
EAT,KEAT,Pangborn Memorial Airport,Wenatchee,WA,medium_airport,47.398899,-120.207001,1249.0,yes,2,7000,OurAirports airports and runways cache
EAU,KEAU,Chippewa Valley Regional Airport,Eau Claire,WI,medium_airport,44.86579895019531,-91.48429870605467,913.0,yes,2,8101,OurAirports airports and runways cache
ECP,KECP,Northwest Florida Beaches International Airport,Panama City Beach,FL,medium_airport,30.357106,-85.795414,69.0,yes,1,10000,OurAirports airports and runways cache
EDA,EDA,Edna Bay Seaplane Base,Edna Bay,AK,seaplane_base,55.949653,-133.661012,,yes,0,0,OurAirports airports and runways cache
EEK,PAEE,Eek Airport,Eek,AK,small_airport,60.213173,-162.044048,12.0,yes,1,3243,OurAirports airports and runways cache
EGE,KEGE,Eagle County Regional Airport,Eagle,CO,medium_airport,39.64260101,-106.9179993,6548.0,yes,2,9000,OurAirports airports and runways cache
EGX,PAII,Egegik Airport,Egegik,AK,medium_airport,58.184386,-157.374873,92.0,yes,2,5600,OurAirports airports and runways cache
EKO,KEKO,Elko Regional Airport,Elko,NV,medium_airport,40.82490158081055,-115.79199981689452,5140.0,yes,2,7214,OurAirports airports and runways cache
ELD,KELD,South Arkansas Regional Airport at Goodwin Field,El Dorado,AR,medium_airport,33.221001,-92.813301,277.0,yes,3,6601,OurAirports airports and runways cache
ELI,PFEL,Elim Airport,Elim,AK,small_airport,64.6147,-162.272003,162.0,yes,1,3401,OurAirports airports and runways cache
ELM,KELM,Elmira Corning Regional Airport,Elmira/Corning,NY,medium_airport,42.1599006652832,-76.8916015625,954.0,yes,3,8001,OurAirports airports and runways cache
ELP,KELP,El Paso International Airport,El Paso,TX,large_airport,31.809908,-106.375607,3959.0,yes,3,12020,OurAirports airports and runways cache
ELV,PAEL,Elfin Cove Seaplane Base,Elfin Cove,AK,seaplane_base,58.1952018738,-136.347000122,0.0,yes,1,10000,OurAirports airports and runways cache
EMK,PAEM,Emmonak Airport,Emmonak,AK,medium_airport,62.78609848,-164.4909973,13.0,yes,1,4601,OurAirports airports and runways cache
ENA,PAEN,Kenai Municipal Airport,Kenai,AK,medium_airport,60.570946,-151.245174,99.0,yes,3,7855,OurAirports airports and runways cache
ERI,KERI,Erie International Tom Ridge Field,Erie,PA,medium_airport,42.083127,-80.173867,732.0,yes,2,8420,OurAirports airports and runways cache
ESC,KESC,Delta County Airport,Escanaba,MI,medium_airport,45.723199,-87.088623,609.0,yes,2,6498,OurAirports airports and runways cache
ESD,KORS,Orcas Island Airport,Eastsound,WA,medium_airport,48.708199,-122.910004,31.0,yes,1,2901,OurAirports airports and runways cache
EUG,KEUG,Eugene Airport,Eugene,OR,medium_airport,44.124599,-123.211998,374.0,yes,3,8009,OurAirports airports and runways cache
EVV,KEVV,Evansville Regional Airport,Evansville,IN,medium_airport,38.0369987488,-87.5324020386,418.0,yes,3,8021,OurAirports airports and runways cache
EWB,KEWB,New Bedford Regional Airport,New Bedford,MA,medium_airport,41.67610168457031,-70.95690155029297,80.0,yes,2,5400,OurAirports airports and runways cache
EWN,KEWN,Coastal Carolina Regional Airport,New Bern,NC,medium_airport,35.0730018616,-77.04290008539999,18.0,yes,2,6452,OurAirports airports and runways cache
EWR,KEWR,Newark Liberty International Airport,Newark,NJ,large_airport,40.6894,-74.170545,18.0,yes,3,11000,OurAirports airports and runways cache
EXI,EXI,Excursion Inlet Seaplane Base,Excursion Inlet,AK,seaplane_base,58.420502,-135.449005,0.0,yes,1,1000,OurAirports airports and runways cache
EYW,KEYW,Key West International Airport,Key West,FL,medium_airport,24.556119,-81.759579,3.0,yes,1,5076,OurAirports airports and runways cache
FAI,PAFA,Fairbanks International Airport,Fairbanks,AK,medium_airport,64.815102,-147.856003,439.0,yes,4,11800,OurAirports airports and runways cache
FAR,KFAR,Hector International Airport,Fargo,ND,medium_airport,46.9207,-96.815804,902.0,yes,3,9001,OurAirports airports and runways cache
FAT,KFAT,Fresno Yosemite International Airport,Fresno,CA,large_airport,36.775767,-119.718018,336.0,yes,2,9539,OurAirports airports and runways cache
FAY,KFAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,NC,medium_airport,34.991199,-78.880302,189.0,yes,2,7709,OurAirports airports and runways cache
FBS,W33,Friday Harbor Seaplane Base,Friday Harbor,WA,seaplane_base,48.5373,-123.010002,,yes,2,10000,OurAirports airports and runways cache
FCA,KGPI,Glacier Park International Airport,Kalispell,MT,medium_airport,48.310501,-114.255997,2977.0,yes,3,9007,OurAirports airports and runways cache
FLG,KFLG,Flagstaff Pulliam Airport,Flagstaff,AZ,medium_airport,35.139757,-111.669826,7014.0,yes,1,8800,OurAirports airports and runways cache
FLL,KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,large_airport,26.072599,-80.152702,9.0,yes,2,9000,OurAirports airports and runways cache
FLO,KFLO,Florence Regional Airport,Florence,SC,medium_airport,34.18539810180664,-79.7238998413086,146.0,yes,2,6502,OurAirports airports and runways cache
FNR,PANR,Funter Bay Seaplane Base,Funter Bay,AK,seaplane_base,58.2543983459,-134.897994995,0.0,yes,1,10500,OurAirports airports and runways cache
FNT,KFNT,Bishop International Airport,Flint,MI,medium_airport,42.969294,-83.743355,782.0,yes,2,7852,OurAirports airports and runways cache
FOD,KFOD,Fort Dodge Regional Airport,Fort Dodge,IA,medium_airport,42.552624,-94.191237,1156.0,yes,2,6547,OurAirports airports and runways cache
FRD,KFHR,Friday Harbor Airport,Friday Harbor,WA,medium_airport,48.523654,-123.024645,113.0,yes,1,3402,OurAirports airports and runways cache
FSD,KFSD,Sioux Falls Regional Airport,Sioux Falls,SD,medium_airport,43.585463,-96.741152,1429.0,yes,3,9000,OurAirports airports and runways cache
FSM,KFSM,Fort Smith Regional Airport,Fort Smith,AR,medium_airport,35.336601,-94.367401,469.0,yes,2,8000,OurAirports airports and runways cache
FTW,KFTW,Fort Worth Meacham International Airport,Fort Worth,TX,medium_airport,32.819919,-97.360818,710.0,yes,3,7502,OurAirports airports and runways cache
FWA,KFWA,Fort Wayne International Airport,Fort Wayne,IN,medium_airport,40.978896,-85.194465,814.0,yes,3,11981,OurAirports airports and runways cache
FYU,PFYU,Fort Yukon Airport,Fort Yukon,AK,medium_airport,66.571651,-145.249987,433.0,yes,1,5000,OurAirports airports and runways cache
GAL,PAGA,Edward G. Pitka Sr Airport,Galena,AK,medium_airport,64.736198,-156.936997,153.0,yes,2,6000,OurAirports airports and runways cache
GAM,PAGM,Gambell Airport,Gambell,AK,medium_airport,63.767694,-171.733303,27.0,yes,1,4500,OurAirports airports and runways cache
GCC,KGCC,Northeast Wyoming Regional Airport,Gillette,WY,medium_airport,44.3489,-105.539001,4365.0,yes,2,7501,OurAirports airports and runways cache
GCK,KGCK,Garden City Regional Airport,Garden City,KS,medium_airport,37.9275016785,-100.723999023,2891.0,yes,2,7299,OurAirports airports and runways cache
GCN,KGCN,Grand Canyon National Park Airport,Grand Canyon - Tusayan,AZ,medium_airport,35.9524,-112.147003,6609.0,yes,1,8999,OurAirports airports and runways cache
GDV,KGDV,Dawson Community Airport,Glendive,MT,medium_airport,47.137658,-104.80691,2458.0,yes,2,5704,OurAirports airports and runways cache
GEG,KGEG,Spokane International Airport,Spokane,WA,large_airport,47.6199,-117.533997,2376.0,yes,2,11002,OurAirports airports and runways cache
GFK,KGFK,Grand Forks International Airport,Grand Forks,ND,medium_airport,47.949299,-97.176102,845.0,yes,4,7351,OurAirports airports and runways cache
GGG,KGGG,East Texas Regional Airport,Longview,TX,medium_airport,32.38399887084961,-94.71150207519533,365.0,yes,2,10000,OurAirports airports and runways cache
GGW,KGGW,Glasgow Valley County Airport Wokal Field,Glasgow,MT,medium_airport,48.212502,-106.614998,2296.0,yes,2,5002,OurAirports airports and runways cache
GJT,KGJT,Grand Junction Regional Airport,Grand Junction,CO,medium_airport,39.126663,-108.529387,4858.0,yes,2,9339,OurAirports airports and runways cache
GKN,PAGK,Gulkana Airport,Gulkana,AK,medium_airport,62.155859,-145.454662,1586.0,yes,1,5001,OurAirports airports and runways cache
GLH,KGLH,Mid Delta Regional Airport,Greenville,MS,medium_airport,33.482899,-90.985603,131.0,yes,2,8001,OurAirports airports and runways cache
GLV,PAGL,Golovin Airport,Golovin,AK,small_airport,64.550499,-163.007004,59.0,yes,1,4000,OurAirports airports and runways cache
GNU,GNU,Goodnews Airport,Goodnews,AK,small_airport,59.117561,-161.575241,15.0,yes,1,2835,OurAirports airports and runways cache
GNV,KGNV,Gainesville Regional Airport,Gainesville,FL,medium_airport,29.6900997162,-82.2717971802,152.0,yes,2,7504,OurAirports airports and runways cache
GPT,KGPT,Gulfport Biloxi International Airport,Gulfport,MS,medium_airport,30.405582,-89.069836,28.0,yes,3,9002,OurAirports airports and runways cache
GRB,KGRB,Austin Straubel International Airport,Green Bay,WI,medium_airport,44.483459,-88.130805,695.0,yes,3,8700,OurAirports airports and runways cache
GRI,KGRI,Central Nebraska Regional Airport,Grand Island,NE,medium_airport,40.96749877929688,-98.30960083007812,1847.0,yes,2,7002,OurAirports airports and runways cache
GRK,KGRK,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,TX,medium_airport,31.0672,-97.828903,1015.0,yes,1,9997,OurAirports airports and runways cache
GRR,KGRR,Gerald R. Ford International Airport,Grand Rapids,MI,large_airport,42.880798,-85.522797,794.0,yes,3,10001,OurAirports airports and runways cache
GSO,KGSO,Piedmont Triad International Airport,Greensboro,NC,large_airport,36.09937,-79.937262,925.0,yes,3,10001,OurAirports airports and runways cache
GSP,KGSP,Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,SC,medium_airport,34.895699,-82.218903,964.0,yes,1,11001,OurAirports airports and runways cache
GST,PAGS,Gustavus Airport,Gustavus,AK,medium_airport,58.4253006,-135.7070007,35.0,yes,2,6720,OurAirports airports and runways cache
GTF,KGTF,Great Falls International Airport,Great Falls,MT,medium_airport,47.481998,-111.371002,3680.0,yes,3,10502,OurAirports airports and runways cache
GTR,KGTR,Golden Triangle Regional Airport,Columbus/W Point/Starkville,MS,medium_airport,33.450298,-88.5914,264.0,yes,1,8003,OurAirports airports and runways cache
GUC,KGUC,Gunnison Crested Butte Regional Airport,Gunnison,CO,medium_airport,38.534672,-106.934566,7680.0,yes,2,9400,OurAirports airports and runways cache
GUP,KGUP,Gallup Municipal Airport,Gallup,NM,medium_airport,35.511653,-108.788166,6472.0,yes,1,7312,OurAirports airports and runways cache
GYY,KGYY,Gary/Chicago International Airport,Gary,IN,medium_airport,41.617087,-87.413206,591.0,yes,2,8859,OurAirports airports and runways cache
HCR,PAHC,Holy Cross Airport,Holy Cross,AK,medium_airport,62.18830108642578,-159.77499389648438,70.0,yes,1,4000,OurAirports airports and runways cache
HDN,KHDN,Yampa Valley Airport,Hayden,CO,medium_airport,40.481201,-107.218002,6606.0,yes,1,10000,OurAirports airports and runways cache
HGR,KHGR,Hagerstown Regional Richard A Henson Field,Hagerstown,MD,medium_airport,39.708771,-77.728014,703.0,yes,2,7000,OurAirports airports and runways cache
HHH,KHXD,Hilton Head Airport,Hilton Head Island,SC,medium_airport,32.2244,-80.697502,19.0,yes,1,5000,OurAirports airports and runways cache
HHR,KHHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,CA,medium_airport,33.922798,-118.334999,66.0,yes,1,4884,OurAirports airports and runways cache
HIB,KHIB,Range Regional Airport,Hibbing,MN,medium_airport,47.384831,-92.836905,1354.0,yes,2,6758,OurAirports airports and runways cache
HII,KHII,Lake Havasu City Airport,Lake Havasu City,AZ,medium_airport,34.570506,-114.357745,783.0,yes,3,8000,OurAirports airports and runways cache
HLN,KHLN,Helena Regional Airport,Helena,MT,medium_airport,46.6068,-111.983002,3877.0,yes,3,9000,OurAirports airports and runways cache
HNH,PAOH,Hoonah Airport,Hoonah,AK,small_airport,58.0961,-135.410111,19.0,yes,1,3367,OurAirports airports and runways cache
HNL,PHNL,Daniel K. Inouye International Airport,"Honolulu, Oahu",HI,large_airport,21.318387,-157.92567,13.0,yes,6,12360,OurAirports airports and runways cache
HNM,PHHN,Hana Airport,Hana,HI,medium_airport,20.795601,-156.014008,78.0,yes,1,3606,OurAirports airports and runways cache
HNS,PAHN,Haines Airport,Haines,AK,medium_airport,59.243921,-135.523925,15.0,yes,1,4000,OurAirports airports and runways cache
HOB,KHOB,Lea County Regional Airport,Hobbs,NM,medium_airport,32.6875,-103.217003,3661.0,yes,3,8000,OurAirports airports and runways cache
