iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
HOM,PAHO,Homer Airport,Homer,AK,medium_airport,59.644456,-151.479235,84.0,yes,1,6701,OurAirports airports and runways cache
HOT,KHOT,Memorial Field Airport,Hot Springs,AR,medium_airport,34.4788,-93.096262,540.0,yes,2,6595,OurAirports airports and runways cache
HOU,KHOU,William P. Hobby Airport,Houston,TX,large_airport,29.645336,-95.276812,46.0,yes,4,7602,OurAirports airports and runways cache
HPB,PAHP,Hooper Bay Airport,Hooper Bay,AK,small_airport,61.523899,-166.147003,13.0,yes,1,3300,OurAirports airports and runways cache
HPN,KHPN,Westchester County Airport,White Plains,NY,medium_airport,41.06700134277344,-73.70760345458984,439.0,yes,2,6549,OurAirports airports and runways cache
HRL,KHRL,Valley International Airport,Harlingen,TX,medium_airport,26.228500366210938,-97.65440368652344,36.0,yes,3,9400,OurAirports airports and runways cache
HRO,KHRO,Boone County Airport,Harrison,AR,medium_airport,36.26150131225586,-93.15470123291016,1365.0,yes,1,6161,OurAirports airports and runways cache
HSL,PAHL,Huslia Airport,Huslia,AK,medium_airport,65.697899,-156.350998,220.0,yes,1,4000,OurAirports airports and runways cache
HSV,KHSV,Huntsville International Airport,Huntsville,AL,medium_airport,34.636244,-86.774378,629.0,yes,2,12600,OurAirports airports and runways cache
HTS,KHTS,Tri-State Airport / Milton J. Ferguson Field,Huntington,WV,medium_airport,38.366699,-82.557999,828.0,yes,2,7017,OurAirports airports and runways cache
HUS,PAHU,Hughes Airport,Hughes,AK,small_airport,66.04109955,-154.2630005,299.0,yes,1,3380,OurAirports airports and runways cache
HVN,KHVN,Tweed New Haven Airport,New Haven,CT,medium_airport,41.262869,-72.887694,12.0,yes,2,5600,OurAirports airports and runways cache
HVR,KHVR,Havre City County Airport,Havre,MT,medium_airport,48.541387,-109.762859,2591.0,yes,2,5205,OurAirports airports and runways cache
HYA,KHYA,Cape Cod Gateway Airport,Hyannis,MA,medium_airport,41.6693,-70.280403,54.0,yes,2,5425,OurAirports airports and runways cache
