iata,ident,runway_count,longest_runway_ft,source
FOD,KFOD,2,6547,OurAirports airports and runways cache
FRD,KFHR,1,3402,OurAirports airports and runways cache
FSD,KFSD,3,9000,OurAirports airports and runways cache
FSM,KFSM,2,8000,OurAirports airports and runways cache
FTW,KFTW,3,7502,OurAirports airports and runways cache
FWA,KFWA,3,11981,OurAirports airports and runways cache
FYU,PFYU,1,5000,OurAirports airports and runways cache
GAL,PAGA,2,6000,OurAirports airports and runways cache
GAM,PAGM,1,4500,OurAirports airports and runways cache
GCC,KGCC,2,7501,OurAirports airports and runways cache
GCK,KGCK,2,7299,OurAirports airports and runways cache
GCN,KGCN,1,8999,OurAirports airports and runways cache
GDV,KGDV,2,5704,OurAirports airports and runways cache
GEG,KGEG,2,11002,OurAirports airports and runways cache
GFK,KGFK,4,7351,OurAirports airports and runways cache
GGG,KGGG,2,10000,OurAirports airports and runways cache
GGW,KGGW,2,5002,OurAirports airports and runways cache
GJT,KGJT,2,9339,OurAirports airports and runways cache
GKN,PAGK,1,5001,OurAirports airports and runways cache
GLH,KGLH,2,8001,OurAirports airports and runways cache
GLV,PAGL,1,4000,OurAirports airports and runways cache
GNU,GNU,1,2835,OurAirports airports and runways cache
GNV,KGNV,2,7504,OurAirports airports and runways cache
GPT,KGPT,3,9002,OurAirports airports and runways cache
GRB,KGRB,3,8700,OurAirports airports and runways cache
GRI,KGRI,2,7002,OurAirports airports and runways cache
GRK,KGRK,1,9997,OurAirports airports and runways cache
GRR,KGRR,3,10001,OurAirports airports and runways cache
GSO,KGSO,3,10001,OurAirports airports and runways cache
GSP,KGSP,1,11001,OurAirports airports and runways cache
GST,PAGS,2,6720,OurAirports airports and runways cache
GTF,KGTF,3,10502,OurAirports airports and runways cache
GTR,KGTR,1,8003,OurAirports airports and runways cache
GUC,KGUC,2,9400,OurAirports airports and runways cache
GUP,KGUP,1,7312,OurAirports airports and runways cache
GYY,KGYY,2,8859,OurAirports airports and runways cache
HCR,PAHC,1,4000,OurAirports airports and runways cache
HDN,KHDN,1,10000,OurAirports airports and runways cache
HGR,KHGR,2,7000,OurAirports airports and runways cache
HHH,KHXD,1,5000,OurAirports airports and runways cache
HHR,KHHR,1,4884,OurAirports airports and runways cache
HIB,KHIB,2,6758,OurAirports airports and runways cache
HII,KHII,3,8000,OurAirports airports and runways cache
HLN,KHLN,3,9000,OurAirports airports and runways cache
HNH,PAOH,1,3367,OurAirports airports and runways cache
HNL,PHNL,6,12360,OurAirports airports and runways cache
HNM,PHHN,1,3606,OurAirports airports and runways cache
HNS,PAHN,1,4000,OurAirports airports and runways cache
HOB,KHOB,3,8000,OurAirports airports and runways cache
HOM,PAHO,1,6701,OurAirports airports and runways cache
HOT,KHOT,2,6595,OurAirports airports and runways cache
HOU,KHOU,4,7602,OurAirports airports and runways cache
HPB,PAHP,1,3300,OurAirports airports and runways cache
HPN,KHPN,2,6549,OurAirports airports and runways cache
HRL,KHRL,3,9400,OurAirports airports and runways cache
HRO,KHRO,1,6161,OurAirports airports and runways cache
HSL,PAHL,1,4000,OurAirports airports and runways cache
HSV,KHSV,2,12600,OurAirports airports and runways cache
HTS,KHTS,2,7017,OurAirports airports and runways cache
HUS,PAHU,1,3380,OurAirports airports and runways cache
HVN,KHVN,2,5600,OurAirports airports and runways cache
HVR,KHVR,2,5205,OurAirports airports and runways cache
HYA,KHYA,2,5425,OurAirports airports and runways cache
HYG,PAHY,1,5000,OurAirports airports and runways cache
HYL,HYL,2,10000,OurAirports airports and runways cache
HYS,KHYS,2,6501,OurAirports airports and runways cache
IAD,KIAD,4,11500,OurAirports airports and runways cache
IAG,KIAG,3,9826,OurAirports airports and runways cache
IAH,KIAH,5,12001,OurAirports airports and runways cache
IAN,PAIK,1,4000,OurAirports airports and runways cache
ICT,KICT,3,10302,OurAirports airports and runways cache
IDA,KIDA,2,9002,OurAirports airports and runways cache
IGG,PAIG,1,3000,OurAirports airports and runways cache
IKO,PAKO,1,3512,OurAirports airports and runways cache
ILG,KILG,3,7275,OurAirports airports and runways cache
ILI,PAIL,4,5086,OurAirports airports and runways cache
ILM,KILM,2,8016,OurAirports airports and runways cache
IMT,KIMT,2,6502,OurAirports airports and runways cache
IND,KIND,3,11200,OurAirports airports and runways cache
INL,KINL,2,7400,OurAirports airports and runways cache
IPL,KIPL,2,5308,OurAirports airports and runways cache
IPT,KIPT,2,6825,OurAirports airports and runways cache
IRC,PACR,1,2979,OurAirports airports and runways cache
IRK,KIRK,2,6005,OurAirports airports and runways cache
ISP,KISP,4,7006,OurAirports airports and runways cache
ITH,KITH,2,6977,OurAirports airports and runways cache
ITO,PHTO,2,9800,OurAirports airports and runways cache
IWD,KIWD,1,6502,OurAirports airports and runways cache
JAC,KJAC,1,6300,OurAirports airports and runways cache
JAN,KJAN,2,8500,OurAirports airports and runways cache
JAX,KJAX,2,10000,OurAirports airports and runways cache
JBR,KJBR,2,6200,OurAirports airports and runways cache
JFK,KJFK,4,14511,OurAirports airports and runways cache
JHM,PHJH,1,3000,OurAirports airports and runways cache
JLN,KJLN,3,6502,OurAirports airports and runways cache
JMS,KJMS,2,6502,OurAirports airports and runways cache
JNU,PAJN,2,8857,OurAirports airports and runways cache
JRA,JRA,9,44,OurAirports airports and runways cache
JST,KJST,3,7004,OurAirports airports and runways cache
KAE,KAE,1,10000,OurAirports airports and runways cache
KAL,PAKV,1,3986,OurAirports airports and runways cache
KBC,Z91,1,4000,OurAirports airports and runways cache
KCC,KCC,1,5000,OurAirports airports and runways cache
KCG,PAJC,1,2600,OurAirports airports and runways cache
KCQ,A79,1,2800,OurAirports airports and runways cache
KEB,KEB,1,1850,OurAirports airports and runways cache
KEH,S60,2,10000,OurAirports airports and runways cache
KFP,PAKF,1,2100,OurAirports airports and runways cache
KGK,PAJZ,1,3300,OurAirports airports and runways cache
KGX,KGX,1,4000,OurAirports airports and runways cache
KKA,PAKK,1,3002,OurAirports airports and runways cache
KKB,KKB,1,4000,OurAirports airports and runways cache
KKH,PADY,1,2400,OurAirports airports and runways cache
KKI,Z13,1,1649,OurAirports airports and runways cache
KLG,PALG,1,3198,OurAirports airports and runways cache
KLN,PALB,1,2690,OurAirports airports and runways cache
KLW,PAKW,1,5000,OurAirports airports and runways cache
KMO,PAMB,1,3300,OurAirports airports and runways cache
KMY,KMY,1,10000,OurAirports airports and runways cache
KNK,PFKK,1,3300,OurAirports airports and runways cache
KNW,PANW,1,3281,OurAirports airports and runways cache
KOA,PHKO,1,11000,OurAirports airports and runways cache
KOT,PFKO,1,4400,OurAirports airports and runways cache
KOY,KOY,1,10000,OurAirports airports and runways cache
KOZ,4K5,1,3300,OurAirports airports and runways cache
KPB,KPB,1,4000,OurAirports airports and runways cache
KPN,PAKI,1,3200,OurAirports airports and runways cache
KPR,KPR,1,10000,OurAirports airports and runways cache
KPV,PAPE,1,3300,OurAirports airports and runways cache
KPY,KPY,1,10000,OurAirports airports and runways cache
KQA,PAUT,1,4500,OurAirports airports and runways cache
KSM,PASM,2,5997,OurAirports airports and runways cache
KTB,KTB,1,5000,OurAirports airports and runways cache
KTN,PAKT,2,9500,OurAirports airports and runways cache
KTS,PFKT,2,2990,OurAirports airports and runways cache
KUK,PFKA,1,3000,OurAirports airports and runways cache
KVC,PAVC,1,3500,OurAirports airports and runways cache
KVL,PAVL,1,3000,OurAirports airports and runways cache
KWK,PAGG,1,1835,OurAirports airports and runways cache
KWN,PAQH,1,4000,OurAirports airports and runways cache
KWP,KWP,1,10000,OurAirports airports and runways cache
KWT,PFKW,1,3199,OurAirports airports and runways cache
KXA,KXA,1,2000,OurAirports airports and runways cache
KYK,PAKY,1,2000,OurAirports airports and runways cache
KYU,PFKU,1,4000,OurAirports airports and runways cache
KZB,KZB,0,0,OurAirports airports and runways cache
LAF,KLAF,2,6600,OurAirports airports and runways cache
LAL,KLAL,2,8500,OurAirports airports and runways cache
LAN,KLAN,3,8506,OurAirports airports and runways cache
LAR,KLAR,2,8503,OurAirports airports and runways cache
LAS,KLAS,4,14835,OurAirports airports and runways cache
LAW,KLAW,1,8599,OurAirports airports and runways cache
LAX,KLAX,4,12894,OurAirports airports and runways cache
LBB,KLBB,3,11500,OurAirports airports and runways cache
LBE,KLBE,2,8222,OurAirports airports and runways cache
LBF,KLBF,2,8001,OurAirports airports and runways cache
LBL,KLBL,2,7105,OurAirports airports and runways cache
LCH,KLCH,2,6500,OurAirports airports and runways cache
LCK,KLCK,3,12103,OurAirports airports and runways cache
LEB,KLEB,2,5496,OurAirports airports and runways cache
LEX,KLEX,2,7004,OurAirports airports and runways cache
LFT,KLFT,3,8000,OurAirports airports and runways cache
LGA,KLGA,3,7002,OurAirports airports and runways cache
LGB,KLGB,5,10000,OurAirports airports and runways cache
LIH,PHLI,2,6500,OurAirports airports and runways cache
LIT,KLIT,3,8273,OurAirports airports and runways cache
LKE,W55,1,5000,OurAirports airports and runways cache
LMA,PAMH,1,4184,OurAirports airports and runways cache
LNK,KLNK,3,12901,OurAirports airports and runways cache
LNS,KLNS,2,6933,OurAirports airports and runways cache
LNY,PHNY,1,5001,OurAirports airports and runways cache
LPS,S31,1,2905,OurAirports airports and runways cache
LRD,KLRD,3,8743,OurAirports airports and runways cache
LRU,KLRU,3,7506,OurAirports airports and runways cache
LSE,KLSE,3,8742,OurAirports airports and runways cache
LUK,KLUK,3,6101,OurAirports airports and runways cache
LUP,PHLU,1,2700,OurAirports airports and runways cache
LUR,PALU,1,4800,OurAirports airports and runways cache
LWB,KLWB,1,7003,OurAirports airports and runways cache
LWS,KLWS,2,6511,OurAirports airports and runways cache
LYH,KLYH,2,7100,OurAirports airports and runways cache
MAF,KMAF,4,9501,OurAirports airports and runways cache
MBL,KMBL,2,5501,OurAirports airports and runways cache
MBS,KMBS,2,8002,OurAirports airports and runways cache
MCE,KMCE,1,5914,OurAirports airports and runways cache
MCG,PAMC,2,5936,OurAirports airports and runways cache
MCI,KMCI,3,10801,OurAirports airports and runways cache
MCK,KMCK,3,6450,OurAirports airports and runways cache
MCN,KMCN,2,6500,OurAirports airports and runways cache
MCO,KMCO,4,12005,OurAirports airports and runways cache
MCW,KMCW,2,6501,OurAirports airports and runways cache
MDT,KMDT,1,10001,OurAirports airports and runways cache
MDW,KMDW,5,6522,OurAirports airports and runways cache
MEI,KMEI,2,10003,OurAirports airports and runways cache
MEM,KMEM,4,11120,OurAirports airports and runways cache
MFE,KMFE,2,7120,OurAirports airports and runways cache
MFR,KMFR,2,8800,OurAirports airports and runways cache
MGC,KMGC,1,4099,OurAirports airports and runways cache
MGM,KMGM,2,9020,OurAirports airports and runways cache
MGW,KMGW,3,5199,OurAirports airports and runways cache
MHK,KMHK,2,7400,OurAirports airports and runways cache
MHT,KMHT,2,9250,OurAirports airports and runways cache
MIA,KMIA,4,13016,OurAirports airports and runways cache
MKE,KMKE,5,9990,OurAirports airports and runways cache
MKG,KMKG,2,6500,OurAirports airports and runways cache
MKK,PHMK,2,4494,OurAirports airports and runways cache
MKL,KMKL,2,6005,OurAirports airports and runways cache
MLB,KMLB,3,10181,OurAirports airports and runways cache
MLI,KMLI,3,10002,OurAirports airports and runways cache
MLL,PADM,1,3200,OurAirports airports and runways cache
MLU,KMLU,3,7504,OurAirports airports and runways cache
MLY,PAML,1,3400,OurAirports airports and runways cache
MMH,KMMH,1,7000,OurAirports airports and runways cache
MNT,51Z,1,2000,OurAirports airports and runways cache
MOB,KMOB,2,8502,OurAirports airports and runways cache
MOT,KMOT,2,7700,OurAirports airports and runways cache
MOU,PAMO,1,3501,OurAirports airports and runways cache
MQT,KSAW,1,9072,OurAirports airports and runways cache
MRI,PAMR,3,4000,OurAirports airports and runways cache
MRY,KMRY,2,7175,OurAirports airports and runways cache
MSL,KMSL,2,6693,OurAirports airports and runways cache
